Dataset,Model,Accuracy,F1-Score,AUC,Precision,Recall,Train Time (s)
ISOT,Logistic Regression,0.9919,0.9922,0.9995,0.9936,0.9908,7.4
ISOT,LightGBM,0.9974,0.9975,0.9999,0.9981,0.9970,179.1
ISOT,BiLSTM,0.9987,0.9987,0.9999,0.9979,0.9996,1783.0
ISOT,CNN-Text,0.9959,0.9961,0.9998,0.9974,0.9947,521.5
GossipCop,Logistic Regression,0.9219,0.9228,0.9793,0.9108,0.9352,8.4
GossipCop,LightGBM,0.9313,0.9318,0.9841,0.9252,0.9384,66.9
GossipCop,BiLSTM,0.9045,0.9071,0.9626,0.8821,0.9336,179.1
GossipCop,CNN-Text,0.7680,0.7992,0.8989,0.7040,0.9242,81.9
WELFake,Logistic Regression,0.9644,0.9654,0.9932,0.9620,0.9689,27.7
WELFake,LightGBM,0.9765,0.9773,0.9971,0.9709,0.9838,321.1
WELFake,BiLSTM,0.9614,0.9626,0.9929,0.9575,0.9678,1917.6
WELFake,CNN-Text,0.9629,0.9634,0.9955,0.9751,0.9520,867.6
LIAR,Logistic Regression,0.5951,0.4916,0.6291,0.5525,0.4429,3.3
LIAR,LightGBM,0.5920,0.5076,0.6075,0.5441,0.4756,4.0
LIAR,BiLSTM,0.5924,0.5440,0.6323,0.5381,0.5500,408.9
LIAR,CNN-Text,0.5936,0.4278,0.6219,0.5664,0.3437,158.9
GonzaloA,Logistic Regression,0.9731,0.9707,0.9939,0.9675,0.9740,6.8
GonzaloA,LightGBM,0.9854,0.9842,0.9984,0.9749,0.9937,134.9
GonzaloA,BiLSTM,0.9813,0.9799,0.9960,0.9681,0.9919,643.5
GonzaloA,CNN-Text,0.9795,0.9779,0.9965,0.9663,0.9897,295.9
ErfanM,Logistic Regression,0.9826,0.9831,0.9984,0.9860,0.9802,6.4
ErfanM,LightGBM,0.9896,0.9899,0.9993,0.9915,0.9883,158.7
ErfanM,BiLSTM,0.9743,0.9748,0.9957,0.9819,0.9678,766.4
ErfanM,CNN-Text,0.9850,0.9854,0.9987,0.9854,0.9854,335.6
Ultimate,Logistic Regression,0.9525,0.7194,0.9764,0.9298,0.5867,27.1
Ultimate,LightGBM,0.9696,0.8430,0.9891,0.9087,0.7861,234.6
Ultimate,BiLSTM,0.9598,0.7873,0.9768,0.8732,0.7168,1324.1
Ultimate,CNN-Text,0.9615,0.8039,0.9806,0.8530,0.7601,610.3
Combined,Logistic Regression,0.8679,0.8526,0.9195,0.8032,0.9085,181.3
Combined,LightGBM,0.8830,0.8725,0.9260,0.8053,0.9519,650.9
Combined,BiLSTM,0.8805,0.8701,0.9292,0.8012,0.9521,6028.1
Combined,CNN-Text,0.8835,0.8763,0.9309,0.7918,0.9809,2771.0
